EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Du, 29 aprilie 2012",27,32,34,15,21,1,REPORT,"575.492,28","4.038.274,35",5,"38.366,15","0,00",480,"399,64","0,00",9.259,"30,00","0,00"
"Jo, 26 aprilie 2012",45,20,35,16,43,13,REPORT,"240.082,24","3.462.782,07",3,"26.675,80","0,00",161,"497,06","0,00",3.381,"30,00","0,00"
"Du, 22 aprilie 2012",46,18,43,8,20,35,REPORT,"633.733,89","3.222.699,83",7,"41.184,36","0,00",350,"603,55","0,00",7.723,"30,00","0,00"
"Jo, 19 aprilie 2012",1,22,18,47,26,32,REPORT,"231.137,79","2.588.965,94",REPORT,"77.045,93","77.045,93",153,"503,56","0,00",3.232,"30,00","0,00"
"Du, 15 aprilie 2012",39,5,46,18,32,37,REPORT,"726.417,72","2.357.828,15",9,"28.881,69","0,00",562,"462,51","0,00",10.152,"30,00","0,00"
"Du, 15 aprilie 2012",38,29,16,8,28,36,REPORT,"0,00","1.378.022,43",14,"17.295,66","0,00",781,"310,03","0,00",13.118,"30,00","0,00"
"Du, 8 aprilie 2012",4,40,13,27,29,16,REPORT,"464.050,65","651.604,71",9,"17.187,06","0,00",672,"230,18","0,00",11.422,"30,00","0,00"
"Jo, 5 aprilie 2012",33,39,23,2,12,24,REPORT,"187.554,06","187.554,06",5,"12.503,60","0,00",164,"381,20","0,00",3.558,"30,00","0,00"
"Du, 1 aprilie 2012",7,14,20,37,43,27,1,"12.122.935,78","0,00",31,"7.846,42","0,00",1.054,"230,77","0,00",16.489,"30,00","0,00"
"Jo, 29 martie 2012",5,37,11,36,6,39,REPORT,"301.945,87","11.393.217,83",6,"16.774,77","0,00",223,"451,33","0,00",4.714,"30,00","0,00"
"Du, 25 martie 2012",43,24,36,32,12,19,REPORT,"682.751,68","11.091.271,96",23,"9.894,95","0,00",1.047,"217,36","0,00",14.512,"30,00","0,00"
"Jo, 22 martie 2012",20,24,13,11,31,3,REPORT,"284.034,26","10.408.520,28",13,"7.282,92","0,00",429,"220,69","0,00",7.241,"30,00","0,00"
"Du, 18 martie 2012",3,39,33,40,2,17,REPORT,"831.676,75","10.124.486,02",8,"34.653,19","0,00",638,"434,52","0,00",12.491,"30,00","0,00"
"Jo, 15 martie 2012",10,11,2,12,49,39,REPORT,"335.718,66","9.292.809,27",7,"15.986,60","0,00",286,"391,28","0,00",5.476,"30,00","0,00"
"Du, 11 martie 2012",25,15,43,35,36,37,REPORT,"740.153,17","8.957.090,61",12,"20.559,81","0,00",565,"436,66","0,00",11.891,"30,00","0,00"
"Jo, 8 martie 2012",10,9,14,43,25,35,REPORT,"310.297,93","8.216.937,44",4,"25.858,16","0,00",283,"365,48","0,00",5.894,"30,00","0,00"
"Du, 4 martie 2012",49,24,44,5,22,38,REPORT,"735.846,24","7.906.639,51",12,"20.440,17","0,00",550,"445,96","0,00",10.925,"30,00","0,00"
"Jo, 1 martie 2012",49,42,34,10,19,41,REPORT,"380.371,23","7.170.793,27",1,"126.790,41","0,00",156,"812,75","0,00",3.896,"30,00","0,00"
"Du, 26 februarie 2012",10,19,1,16,18,14,REPORT,"696.978,48","6.690.422,04",11,"21.120,56","0,00",720,"322,67","0,00",13.134,"30,00","0,00"
"Jo, 23 februarie 2012",10,40,42,37,26,27,REPORT,"321.038,86","5.993.443,56",3,"35.670,98","0,00",209,"512,02","0,00",4.651,"30,00","0,00"
"Du, 19 februarie 2012",16,34,3,12,28,15,REPORT,"675.398,21","5.672.404,70",12,"18.761,06","0,00",938,"240,01","0,00",14.571,"30,00","0,00"
"Jo, 16 februarie 2012",39,16,9,8,18,26,REPORT,"262.583,16","4.997.006,49",3,"29.175,90","0,00",280,"312,59","0,00",5.757,"30,00","0,00"
"Du, 12 februarie 2012",47,28,40,27,9,34,REPORT,"620.138,16","4.734.423,33",7,"29.530,38","0,00",476,"434,27","0,00",9.189,"30,00","0,00"
"Jo, 9 februarie 2012",38,41,45,44,8,34,REPORT,"265.828,46","4.114.285,17",1,"88.609,48","0,00",138,"642,09","0,00",2.909,"30,00","0,00"
"Du, 5 februarie 2012",14,16,33,19,17,49,REPORT,"547.133,18","3.848.456,71",6,"30.396,28","0,00",430,"424,13","0,00",9.418,"30,00","0,00"
"Jo, 2 februarie 2012",36,8,34,6,5,49,REPORT,"261.526,23","3.301.323,53",1,"87.175,41","0,00",187,"466,17","0,00",3.886,"30,00","0,00"
"Du, 29 ianuarie 2012",20,42,9,24,12,44,REPORT,"571.714,32","3.039.797,30",13,"14.659,34","0,00",674,"282,74","0,00",11.596,"30,00","0,00"
"Jo, 26 ianuarie 2012",23,15,4,31,35,47,REPORT,"246.773,83","2.468.082,98",12,"6.854,82","0,00",247,"333,02","0,00",3.858,"30,00","0,00"
"Du, 22 ianuarie 2012",13,18,31,48,24,19,REPORT,"588.530,47","2.221.309,15",8,"24.522,10","0,00",636,"308,45","0,00",11.868,"30,00","0,00"
"Jo, 19 ianuarie 2012",9,29,31,39,3,21,REPORT,"261.971,16","1.632.778,68",8,"10.915,46","0,00",284,"307,47","0,00",4.595,"30,00","0,00"
"Du, 15 ianuarie 2012",14,13,39,45,4,32,REPORT,"614.228,88","1.370.807,52",1,"204.742,96","0,00",492,"416,14","0,00",9.396,"30,00","0,00"
"Jo, 12 ianuarie 2012",15,21,4,3,5,8,REPORT,"216.644,37","756.578,64",8,"9.026,84","0,00",354,"203,99","0,00",5.464,"30,00","0,00"
"Du, 8 ianuarie 2012",49,32,19,47,42,22,REPORT,"539.934,27","539.934,27",3,"59.992,69","0,00",229,"785,93","0,00",5.726,"30,00","0,00"
"Jo, 5 ianuarie 2012",9,39,23,36,3,22,1,"9.804.041,01","0,00",11,"15.874,21","0,00",629,"277,60","0,00",11.063,"30,00","0,00"
